,FILE_NAME,JOB_CLASS_TITLE,JOB_CLASS_NO,REQUIREMENT_SET_ID,REQUIREMENT_SUBSET_ID,JOB_DUTIES,EDUCATION_YEARS,SCHOOL_TYPE,EDUCATION_MAJOR,EXPERIENCE_LENGTH,FULL_TIME_PART_TIME,EXP_JOB_CLASS_TITLE,EXP_JOB_CLASS_FUNCTION,COURSE_COUNT,COURSE_LENGHT,COURSE_SUBJECT,DRIVERS_LICENSE_REQ,DRIV_LIC_TYPE,EXAM_TYPE,ENTRY_SALARY_GEN,ENTRY_SALARY_DWP,OPEN_DATE
80,SENIOR WINDOW CLEANER 3174 013114 Rev021314.txt,SENIOR WINDOW CLEANER,3174,0,,"  A Senior Window Cleaner supervises and participates in the work of a group of Window Cleaners engaged in washing and cleaning windows, including windows which are at considerable heights and/or not easily accessible for cleaning.",0,, ,2,full-time,,|a position at least at the level of Window Cleaner which provides experience in the inside and outside cleaning of windows above the ground floor., ,   ,,R, ,OPEN_INT_PROM,49590,-1,2014-01-31
81,UPHOLSTERER 3723 041715.txt,UPHOLSTERER,3723,0,,"  An Upholsterer repairs and replaces upholstery on automotive seats and office furniture through the use of leather, plastic, fabric, canvas, and vinyl plastic materials. Modifies, fabricates, and constructs vehicle interior and exterior paneling, awnings, covers, curtains, floor mats, compartments and insulation, through the use of masonite, plywood, cardboard, rubber, vinyl, cloth and foam materials.",0,, ,5,full-time,,|automotive and furniture upholstery repair work., ,   ,,P, ,OPEN,76296,40,2015-04-17
82,LIBRARY ASSISTANT 1172 051118 (2).txt,LIBRARY ASSISTANT,1172,0,,"  A Library Assistant performs routine professional, sub professional, and difficult clerical work in the Library Department; assigns, reviews, and evaluates the work of clerical personnel engaged in various library clerical duties; responds to inquiries from the public, and resolves complaints; may serve at a public service desk; applies sound supervisory principles and techniques in building, and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",0,"university, college", ,2,full-time,Library Clerical Assistant Administrative Clerk Clerk Typist,,1,#Q 24 #S 16,,NoR, ,OPEN_INT_PROM,57096,-1,2018-05-11
83,CONTROL SYSTEMS ENGINEERING ASSOCIATE 7230 090817 (1).txt,CONTROL SYSTEMS ENGINEERING ASSOCIATE,7230,3,,"  A Control Systems Engineering Associate develops, designs, selects and evaluates instrumentation and process control systems for the automatic control of a variety of dynamic processes; may supervise employees engaged in the above work; and performs related work.",0,"university, college", ,0,,,, ,   ,,R, ,OPEN,79354,-1,2017-09-08
84,WORKERS_ COMPENSATION CLAIMS ASSISTANT 1775 041114.txt,WORKERS' COMPENSATION CLAIMS ASSISTANT,1775,0,,  A Workers' Compensation Claims Assistant performs various paraprofessional workers' compensation claims duties in assisting professional workers' compensation personnel. ,0,, ,2,full-time,,, ,   ,,P, ,OPEN_INT_PROM,57608,65990,2014-04-11
85,ACCOUNTANT 1513 062218.txt,ACCOUNTANT,1513,0,,"  An Accountant does professional accounting work in the analysis, preparation, maintenance, control, and reconciliation of financial records and reports in accordance with the principles of governmental and public accounting.",4,"university, college", ,0,,,,1,#Q 36 #S 24,,P, ,OPEN,61450,-1,2018-06-22
86,SENIOR LIBRARIAN 6153 033117.txt,SENIOR LIBRARIAN,6153,0,,"  A Senior Librarian assigns, reviews and evaluates the work of a group of employees engaged in providing a variety of professional library services at Branch libraries, Central Library departments, Engagement and Learning, Emerging Technologies and Collections, and special or system-wide support service units; oversees the more responsible aspects of developing collections and technologies; manages library assets, including facilities and budgets; directly performs or supervises employees engaged in outreach to the community regarding library services; works and represents the Department with patrons, volunteers, community support groups, other city departments, vendors and contractors; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",0,"university, college", ,0,,,, ,   ,,P, ,OPEN_INT_PROM,87090,-1,2017-03-31
87,SENIOR CUSTODIAN 3157 062918.txt,SENIOR CUSTODIAN,3157,2,,"  A Senior Custodian assigns, reviews, and evaluates the work of Custodians engaged in a variety of cleaning and custodial tasks in City buildings; personally performs custodial duties including operating large autoscrubbers and other floor machines for floor care maintenance; and applies sound supervisory principles and techniques in building and maintaining an effective work force.",0,, ,2,full-time,Library Clerical Assistant Administrative Clerk Clerk Typist,| lead or supervisor of a crew engaged in custodial work., ,   ,,P, ,OPEN_INT_PROM,41885,65698,2018-06-29
88,FIRE INSPECTOR 2128 031717.txt,FIRE INSPECTOR,2128,0,,,0,"university, college", ,4,full-time,City Los Angeles Fire Department November Under November Candidates,,1,#Q 24 #S 15,,R, ,DEPT_PROM,108450,-1,2017-03-17
89,DIRECTOR OF MAINTENANCE AIRPORTS 7270 041516.txt,DIRECTOR OF MAINTENANCE AIRPORTS,7270,0,,"  A Director of Maintenance Airports directs, or assists in the direction of comprehensive maintenance including remodeling, repair, rehabilitation, and force account construction programs involving airports operated by the Los Angeles World Airports. The responsibilities include managing the maintenance of buildings, field facilities, utility systems, custodial services, fleet operation, waste management, and equipment; applies sound managerial principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",0,, ,2,full-time,,|n Airports Maintenance Superintendent| or in a position which is at that level| as a second-level full-time supervisor of journey-level craft workers in construction| building maintenance| street maintenance or equipment repair., ,   ,,NoR, ,OPEN_INT_PROM,131544,-1,2016-04-15
90,REFUSE COLLECTION TRUCK OPERATOR 021717.txt,REFUSE COLLECTION TRUCK OPERATOR,3580,4,,"  A Refuse Collection Truck Operator loads and unloads a refuse collection vehicle, drives a refuse collection vehicle, operates mechanical attachments on the vehicle, and may work as a manual laborer or lead a small manual labor crew during periods of the day when not driving.",0,, ,1,full-time,,|driving a truck with a gross vehicle weight loaded of 28|000 pounds or more.  (Applicants must include the gross vehicle weight of the vehicle on the application form or the application will not be processed); and, ,   ,,R,B,OPEN_INT_PROM,56981,-1,2017-02-17
91,CARPENTER 3344 011218.txt,CARPENTER,3344,2,,  A Carpenter does skilled rough and finish carpentry in building and repairing wood structures and articles; work may include forming for the placement of concrete.,0,apprenticeship,,6,full-time,,, ,   ,,P, ,OPEN_INT_PROM,86312,93542,2018-01-12
92,EQUIPMENT SUPERVISOR 3527 041318.txt,EQUIPMENT SUPERVISOR,3527,0,,"  An Equipment Supervisor assigns, reviews and evaluates the work of employees engaged in the operation of construction equipment when excavating, backfilling, loading, compacting, mixing and moving earth and other materials on construction, maintenance, composting, mulching or landfill monitoring projects; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",0,, ,4,full-time,Equipment Operator Power Shovel Operator,, ,   ,,P, ,OPEN_INT_PROM,92424,-1,2018-04-13
93,PORT MAINTENANCE SUPERVISOR 3128 052016 REV 060216.txt,PORT MAINTENANCE SUPERVISOR,3128,2,,"  A Port Maintenance Supervisor directly supervises a labor and maintenance crew performing construction and maintenance activities on Port properties, marine terminals, piers, marinas, wharves, beaches and waterways; applies supervisory principles and techniques in building and maintaining an effective workforce; fulfills equal employment opportunity responsibilities; and performs related work. ",0,, ,4,full-time,,, ,   ,,R, ,OPEN_INT_PROM,55363,-1,2016-05-20
94,ARCHITECTURAL ASSOCIATE 7926 013114 REV 032916.txt,CAMPUS INTERVIEWS ONLY,7926,3,,"  An Architectural Associate performs routine and moderately difficult professional architectural work in preparing and checking designs, plans, specifications, estimates, and reports; may prepare designs and drawings using Auto-CADD REVIT applications and prepares physical and digital models; coordinates the preparation of plans and specifications with private and public agencies; administers contracts; and may serve as a lead worker for other employees engaged in this work.",4,"university, college"," architecture, architectural engineering, environmental design, or building science",0,,,, ,   ,,P, ,OPEN,78655,86735,2014-01-31
95,BUILDING CIVIL ENGINEER 7244 032318.txt,BUILDING CIVIL ENGINEER,7244,0,,"  A Building Civil Engineer performs responsible civil engineering work in checking complex building plans and making special engineering studies; plans, organizes, and directs the work of an engineering group engaged in checking plans, designs, and specifications for a variety of buildings for compliance with the Los Angeles City Building, Planning and Zoning, and Green Codes, and the State regulations in the areas of building, fire life safety, grading, zoning, energy conservation and building access by the physically disabled; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",0,, ,2,full-time,,|a position at the level of a Structural Engineering Associate II checking building plans| designs| and specifications for compliance with the Los Angeles City Building| Planning and Zoning Codes| and State regulations in the areas of building| fire life safety| grading| zoning| energy conservation| or disabled access. , ,   ,,P, ,OPEN_INT_PROM,116750,-1,2018-03-23
96,PRINCIPAL TRANSPORTATION ENGINEER 9266 101317.txt,PRINCIPAL TRANSPORTATION ENGINEER,9266,2,,"  A Principal Transportation Engineer plans, organizes and directs the work of technical and professional employees engaged in performing responsible professional transportation engineering, transportation planning and field implementation work; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",0,, ,2,full-time,Project Manager,, ,   ,,P, ,OPEN_INT_PROM,149093,-1,2017-10-13
97,SENIOR UTILITY SERVICES SPECIALIST 3753 121815 (1).txt,SENIOR UTILITY SERVICES SPECIALIST,3753,0,,"  A Senior Utility Services Specialist assigns, reviews, and evaluates the work of employees engaged in the marketing, efficient use and conservation of electric energy and water among residential, commercial, governmental and institutional customers; develops and implements marketing plans and strategies; oversees various marketing and customer outreach support functions; develops and implements energy efficiency programs; manages large commercial accounts; facilitates resolution of complex customer issues; conducts energy and water surveys and audits; advises residential, business and commercial customers on conservation techniques and practices, business solutions, and products and services; applies sound supervisory principles and techniques in building and maintaining an effective work force; fulfills equal employment opportunity responsibilities; and does related work.",0,, ,2,full-time,Utility Services Specialist,, ,   ,,R, ,OPEN_INT_PROM,119726,-1,2015-12-18
98,PRINCIPAL CLERK 1201 021618.txt,PRINCIPAL CLERK,1201,0,,"  A Principal Clerk plans, organizes, and directs the work of clerical employees engaged in a wide variety of clerical activities or independently does clerical work of a highly responsible nature; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",0,, ,2,full-time,Senior Clerk,, ,   ,,P, ,OPEN_INT_PROM,66638,-1,2018-02-16
99,ASSISTANT COMMUNICATIONS CABLE WORKER 3808 080417 REVISED 081717.txt,ASSISTANT COMMUNICATIONS CABLE WORKER,3808,3,,"  An Assistant Communications Cable Worker assists in the installation, splicing, termination, maintenance, changing, removal, location of trouble, and repair of overhead, underground, and inside plant fiber optic and paired copper communications cables, lines, and appurtenant equipment including telephone, data, alarm, carrier, telemetry, and control circuits contained within these cables and lines; and works independently on routine tasks.",0,"university, college", ,1,full-time,,| helper in the installation| maintenance| or repair of communication| control| or power cable facilities; or,1,#Q 18 #S 12,,R,B,OPEN_INT_PROM,63100,79960,2017-08-04
100,PLUMBING INSPECTOR 4231 042817 REV 051117.txt,PLUMBING INSPECTOR,4231,3,,  A Plumbing Inspector inspects plumbing installations for conformance to the provisions of pertinent laws and/or construction specifications and assists in training other employees as required.,0,apprenticeship,| plumbing inspector with work in both residential and commercial plumbing installations; or|both residential and commercial plumbing installations; or|both residential and commercial plumbing installations.,4,full-time,,| plumbing inspector with work in both residential and commercial plumbing installations; or|both residential and commercial plumbing installations; or|both residential and commercial plumbing installations., ,   ,,R, ,OPEN_INT_PROM,86934,-1,2017-04-28
101,CUSTOMER SERVICE REPRESENTATIVE 1230 020918.txt,CUSTOMER SERVICE REPRESENTATIVE,1230,0,,"  A Customer Service Representative has direct public contact including in-person transactions; use of the telephone and Internet to receive customer requests for service; provide information and respond in writing to customers of the Department of Water and Power regarding accounts and department programs; performs specialized work in various aspects of customer billing and collection of delinquent accounts, including the use of personal computers to make necessary input/adjustment transactions; and does related work.",0,, ,2,,,|various aspects of customer billing and collection| including data entry| customer account research and resolution| and the use of personal computers to make necessary input/adjustment transactions., ,   ,,P, ,OPEN,64080,-1,2018-02-09
102,MECHANICAL ENGINEERING ASSOCIATE 7554 061617.txt,MECHANICAL ENGINEERING ASSOCIATE,7554,3,,"  A Mechanical Engineering Associate performs professional mechanical engineering work in the preparation of plans, designs, specifications, reports, estimates, recommendation of awards, studies, quality assurance programs, safety and health testing, and in research, testing and inspection activities related to the manufacturing, construction, installation, operation and maintenance of mechanical equipment and systems, or checking mechanical systems of buildings for code compliance and operation and maintenance feasibility; may perform code enforcement functions relating to design and specifications of plumbing, mechanical and elevator installations and related equipment approval; and does related work.",0,"university, college", ,0,,,, ,   ,,P, ,OPEN,80242,88468,2017-06-16
103,DECK HAND 5131 093016.txt,DECK HAND,5131,0,,  A Deck Hand performs deck work and operates the helm on a motor vessel and other related duties.,0,, ,2,full-time,,| deck hand on a motor vessel., ,   ,,R, ,OPEN,66732,-1,2016-09-30
104,DELIVERY DRIVER 1121 032318.txt,DELIVERY DRIVER,1121,2,,"  A Delivery Driver operates a City automobile, station wagon, van, pickup truck, or other light vehicle as a major assignment in delivering and picking up mail, supplies, and department materials; may collect water samples from designated locations for use in laboratory tests; keeps routine records and prepares routine reports; performs routine clerical, messenger, or stockroom duties part of the time.",0,, ,1,full-time,,, ,   ,,R,B,OPEN,44954,41227,2018-03-23
105,PRINCIPAL CIVIL ENGINEER 9489 022318.txt,PRINCIPAL CIVIL ENGINEER,9489,0,,"  A Principal Civil Engineer serves as administrative and technical head of a major civil, structural or wastewater engineering unit; or may plan, organize and direct, through subordinate project engineers, the activities of major construction projects; applies sound supervisory and management principles and techniques in building and maintaining an effective work force; and fulfills Equal Employment Opportunity responsibilities.",0,, ,2,full-time,Project Manager,, ,   ,,NoR, ,OPEN_INT_PROM,151506,-1,2018-02-23
106,SENIOR COMMUNICATIONS ELECTRICIAN SUPERVISOR 3691 041318.txt,SENIOR COMMUNICATIONS ELECTRICIAN SUPERVISOR,3691,0,,"  A Senior Communications Electrician Supervisor directs the activities of several crews engaged in installing, constructing, operating, repairing, maintaining and modifying the wire, fiber optic, and electronic communication facilities of the City of Los Angeles communication systems; performs budget management, resource allocation, and contract administration; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",0,, ,2,full-time,Communications Electrician Supervisor,, ,   ,,R, ,OPEN_INT_PROM,109223,37813,2018-04-13
107,SENIOR UTILITY ACCOUNTANT 1521 100716.txt,SENIOR UTILITY ACCOUNTANT,1521,0,,"  A Senior Utility Accountant assigns, reviews and evaluates the work of professional accounting and clerical employees engaged in the preparation and maintenance of accounting records, budgetary controls, financial records, and statistical reports; performs difficult and responsible accounting, finance, and auditing work; conducts credit and financial analyses; performs risk control compliance monitoring and reporting; conducts cost and investment studies; performs auditing and analyses of books, records, physical properties and internal controls; and formulates financial services related policies and procedures in the Department of Water and Power; and applies sound supervisory principles and techniques in building and maintaining an effective work force and fulfills equal employment opportunity responsibilities.",0,, ,2,full-time,Utility Accountant,, ,   ,,P, ,OPEN_INT_PROM,92518,-1,2016-10-07
108,PARKING ATTENDANT 3530 042718 (4).txt,PARKING ATTENDANT,3530,2,,"  A Parking Attendant directs cars parking in City-owned parking facilities; sells parking tickets to patrons parking in City-owned commercial parking lots; and performs light non-mechanical vehicle servicing such as washing, cleaning, refueling, and parking City vehicles.",0,, ,8,full-time,Vocational Worker,, ,   ,,R, ,OPEN,34671,-1,2018-04-27
109,ANIMAL CARE TECHNICIAN SUPERVISOR 4313 122118.txt,WATER TREATMENT OPERATOR,5885,0,,"  A Water Treatment Operator does skilled work in the operation, regulation, maintenance and repair of equipment used in the treatment of potable water.",0,, ,0,,,, ,   ,,R, ,OPEN,73591,-1,2018-12-21
110,SENIOR ANIMAL CONTROL OFFICER 4316 111618.txt,SENIOR ANIMAL CONTROL OFFICER,4316,0,,"  A Senior Animal Control Officer assigns, reviews, and evaluates the work of animal control personnel engaged in the enforcement of State laws and City ordinances concerning the care, treatment, licensing, and impounding of animals; supervises humane investigations and permit inspections, and exotic and dangerous wildlife control; issues citations and makes investigations of violations; testifies in court; maintains records and prepares various reports; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity/workplace diversity responsibilities.",0,, ,2,full-time,,|n Animal Control Officer., ,   ,,R, ,OPEN_INT_PROM,62400,-1,2018-11-16
111,SENIOR ROOFER 3477 101708 REV 110608.txt,SENIOR ROOFER,3477,0,,"  A Senior Roofer supervises and works with a crew of journey-level roofers and helpers engaged in the application and repair of composition, asphaltic and other types of roofing.",0,, ,2,full-time,Roofer,, ,   ,,R,B,OPEN_INT_PROM,68006,76044,2008-10-17
112,POLICE SERVICE REPRESENTATIVE 2207 051316 REV 051716.txt,POLICE SERVICE REPRESENTATIVE,2207,3,,"  Police Service Representatives are civilian employees of the Los Angeles Police Department; and are initially assigned to the Communications Division, where they dispatch police patrol cars and receive and analyze 911 telephone calls using a voice radio and digital computer terminal. This initial assignment is designated as a temporary training position; employment in this position will be limited to twelve months, during which time employees must successfully complete a comprehensive training program. Upon successful completion of the training program, employees will receive regular appointments to the class of Police Service Representative and begin a six-month probationary period in the Communications Division.",0,, ,0,,,, ,   ,,P, ,OPEN,61230,-1,2016-05-13
113,STREET LIGHTING CONSTRUCTION AND MAINTENANCE SUPERINTENDENT 3820 051818.txt,STREET LIGHTING CONSTRUCTION AND MAINTENANCE SUPERINTENDENT,3820,0,,"  Oversees a major division of the Bureau of Street Lighting that is responsible for the implementation of the Light-Emitting Diode (LED) conversion program, the systems conversion program, new construction projects and the maintenance and repair of the entire City's street lighting system.",0,, ,4,full-time,Street Lighting Electrician Supervisor,, ,   ,,R, ,OPEN_INT_PROM,112720,-1,2018-05-18
114,CHIEF SECURITY OFFICER 3187 092818.txt,CHIEF SECURITY OFFICER,3187,2,,"  A Chief Security Officer organizes and directs the work of a large group of Principal Security Officers, Senior Security Officers, Security Officers, and Security Aides, engaged in patrolling and safeguarding City-owned buildings and their occupants, grounds, and equipment, and in crowd control; supervises the investigation of accidents, thefts, and disturbances; applies sound principles and techniques in building and maintaining an effective workforce; and fulfills Equal Employment Opportunity responsibilities; and does related work. ",0,, ,1,full-time,Principal Security Officer,, ,   ,,R, ,OPEN_INT_PROM,67995,91621,2018-09-28
115,HARBOR PLANNING AND RESEARCH DIRECTOR 9234 081018 REV 082318.txt,HARBOR PLANNING AND RESEARCH DIRECTOR,9234,2,,"  A Harbor Planning and Research Director directs the port planning, goods movement, transportation infrastructure planning, economic development, zoning consistency, and maritime research activities of the Harbor Department; originates and develops plans and programs and coordinates policy recommendations with other agencies for land and water use, makes policy recommendations for hazardous port facility site selection and strategic issue management; ensures consistency of Port development activities and Port Master Plan; analyzes the socioeconomic impact of port projects or assists in these activities, and plans, organizes, and directs the work of professional and clerical employees engaged in planning and research; applies sound supervisory principles and techniques in building and maintaining an effective work force; fulfills equal employment opportunity responsibilities; and does related work.",0,"university, college", ,2,full-time,Harbor Planning Economic Analyst,|planning| analysis| and research related to port operations or facilities; developing| administering| or managing economic development programs; goods movement including logistics and maritime research; or transportation infrastructure planning., ,   ,,R, ,OPEN_INT_PROM,113138,-1,2018-08-10
116,FINANCIAL MANAGER 1557 070116 Rev.txt,FINANCIAL MANAGER,1557,2,AB,"  A Financial Manager manages, or assists in managing, financial administration and planning or accounting activities of the City Departments having control over their own funds; analyzes and makes recommendations on significant financial matters; participates in the development of business management reporting, accounting, or cash flow projection systems; applies sound supervisory principles and techniques in building and maintaining an effective workforce; and fulfills equal employment opportunity responsibilities.",4,"university, college"," finance, accounting, economics, mathematics, or business administration and five years of full-time paid professional experience in a public accounting firm",3,full-time,Harbor Planning Economic Analyst,|a public accounting firm; or governmental agencies using enterprise accrual accounting systems; or publicly traded private sector corporations; or an investment bank| commercial bank| financial advisor| or investment advisor listed in the Bond Buyers Municipal Marketplace Directory; or privately held companies with revenues and/or equity size comparable to that of a Fortune 500 company; and supervising for at least two years either:, ,   ,,P, ,OPEN_INT_PROM,107532,-1,2016-07-01
117,ENVIRONMENTAL AFFAIRS OFFICER 7320 061518.txt,ENVIRONMENTAL AFFAIRS OFFICER,7320,2,,"  An Environmental Affairs Officer plans, organizes and directs the work of a group of subordinate supervisors, professional employees, and/or consultants engaged in environmental affairs, such as California Environmental Quality Act compliance, noise, renewable energy, climate change, and sustainability, air and water quality, water, natural and cultural resources management, hazardous substance and solid waste management, wastewater and storm water management, resource recycling and pollution prevention, site assessment and remediation, methods, controls, and technologies to mitigate pollution and other environmental impacts; reviews proposed environmental regulation, legislation, and policies, and ensures that the City and its operations are complying with applicable environmental laws and regulations; may act for upper management on environmental management issues in their absence; applies sound supervisory principles and techniques in building an effective work force; and fulfills supervisory safety and equal employment opportunity responsibilities.",0,"university, college"," Environmental Science, Environmental Engineering, Environmental Policy and Planning, Biology, Marine Biology, Zoology, Microbiology, Chemistry, Toxicology, Public Health, Urban Geography or a closely related field, may be substituted for one year of the required experience.",4,full-time,Environmental Supervisor Marine Environmental Supervisor,|environmental activities which includes responsibility for policy development and interpretation for environmental compliance of California Environmental Quality Act documents| noise| renewable energy| climate change and sustainability| air and water quality| water| natural and cultural resources management| hazardous substance management| solid waste management| wastewater and storm water management| resource recycling| pollution prevention| or site assessment and remediation., ,   ,,R, ,OPEN_INT_PROM,125164,41655,2018-06-15
118,SENIOR SYSTEMS ANALYST 1597 100617.txt,SENIOR SYSTEMS ANALYST,1597,0,,"  A Senior Systems Analyst analyzes procedures, methods, operations and computer-based information systems; designs, develops, implements, maintains and recommends information systems to improve efficiency and economy of City operations; performs technically complex and/or critical systems analysis and design activities; installs, modifies and adapts software applications and may perform similar work with systems software in personal computer, mobile devices, client-server, enterprise server, and cloud computing installations; designs, develops, installs, maintains, manages, and administers local area networks or wide area networks; plans, directs, reviews, evaluates and coordinates the work of professional employees engaged in these activities; performs cost/benefit analyses related to the modification of existing systems or the implementation of new systems; performs project management activities; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",0,, ,2,full-time,,|a class at the level of Systems Analyst in the analysis| design| development and implementation of computer-based information systems., ,   ,,P, ,OPEN_INT_PROM,99910,110100,2017-10-06
119,ELEVATOR MECHANIC 3866 012717 REV 080718.txt,ELEVATOR MECHANIC,3866,0,,"  An Elevator Mechanic does skilled electrical, electronic, mechanical, and hydraulic work in the maintenance and repair of passenger and freight elevators, escalators, and other vertical and horizontal transportation equipment, and their related equipment.",0,, ,0,,,, ,   ,,P, ,OPEN_INT_PROM,100866,101351,2017-01-27
120,SECURITY OFFICER 3181 040717 REV 072718.txt,SECURITY OFFICER,3181,4,,"  A Security Officer patrols and safeguards City-owned buildings, parks, reservoirs, facilities, grounds, and equipment; answers questions and directs visitors/patrons; assures that only authorized persons enter buildings, yards, and other restricted areas; prepares reports and keeps records; may make preliminary investigations of accidents, thefts, and disturbances; may issue warnings or citations for illegal parking; may testify in court and may detain violators pending the arrival of a peace officer.",0,"university, college", ,1,full-time,Police Student Worker,,1,#Q 18 #S 12,,P, ,OPEN,50874,54360,2017-04-07
121,SENIOR CHEMIST 7830 030416.txt,SENIOR CHEMIST,7830,0,,"  A Senior Chemist supervises the work of a group of Chemists and Laboratory Technicians and participates in performing difficult organic, inorganic, and physical chemical analysis and research studies in connection with water quality, wastewater, recycled water, air emissions, solid waste, and industrial waste treatment; determines and establishes methods and procedures to be followed in conducting chemical analysis and research programs; may assist in training and directing the activities of a chemistry laboratory; applies sound supervisory principles and techniques in building and maintaining an effective work force; fulfills equal employment opportunity responsibilities; and does related work.",0,"university, college"," Chemistry, Environmental Engineering, Environmental Science, Biochemistry, or a closely related field, may be substituted for one year of the required experience.",2,full-time,,| Chemist or in a class at that level performing a variety of chemical tests in a laboratory., ,   ,,R, ,OPEN_INT_PROM,90494,-1,2016-03-04
122,APPLICATIONS PROGRAMMER 1429 062918.txt,APPLICATIONS PROGRAMMER,1429,2,,"  An Applications Programmer prepares programs by analyzing specifications developed by systems professionals; determines computer processing requirements; develops systems and/or programming flowcharts, codes programs and/or integrates and enhances Commercial Off the Shelf (COTS) software solutions; tests, debugs, and corrects errors in programs; prepares program and systems documentation; assists in analyzing and resolution of computer systems problems; and performs basic network configuration, scripting, network and implementation tasks; maintains configuration databases and related processing; write SQL queries and distribute routine reporting for RDBMS; and performs other related duties.",2,"university, college", ,2,full-time,,|a professional IT environment.,1,#Q 18 #S 12,,NoR, ,OPEN,72620,73351,2018-06-29
123,MECHANICAL REPAIRER 3773 092118.txt,MECHANICAL REPAIRER,3773,0,,  A Mechanical Repairer does a variety of tasks in maintaining and repairing mechanical equipment and tools.,0,, ,2,full-time,,, ,   ,,R,C,OPEN_INT_PROM,82000,82204,2018-09-21
124,WATER SERVICE SUPERVISOR 3930 012717.txt,WATER SERVICE SUPERVISOR,3930,0,,"  A Water Service Supervisor assigns, reviews and evaluates the work of a group of employees engaged in inspecting, repairing, reconditioning, rebuilding, testing, and calibrating a variety of water meters, detector checks and appurtenant water service equipment, inspecting service connections in the field, and inspecting consumer property to determine the cause of consumer complaints; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",0,, ,3,full-time,,| Water Service Worker or a Water Utility Worker with the Los Angeles Department of Water and Power. Only applicants that are currently or have previously worked in the Department of Water and Power in DDR Numbers 93-39121| 93-39137| 93-39120| 93-39135| 93-39119| 93-39138| 93-39010| 93-39126| 93-39002| 93-39023| 93-39026| 42-39301| or 93-39130| and meet the above noted requirement qualify to take this examination., ,   ,,R, ,OPEN_INT_PROM,92394,-1,2017-01-27
125,WHARFINGER 1190 092118.txt,WHARFINGER,1190,2,,"  A Wharfinger tracks cargo by terminal, vessel, and steamship line; evaluates shipping documents for the collection of all shipping services fees and cargo/container statistics associated with vessels, agents, terminals and shipping companies, and inspects facilities in accordance with the Port of Los Angeles Tariff No. 4 and the respective terminal agreements; investigates reports of damage and takes appropriate action; and prepares reports and documentation, as required.",0,"university, college", ,2,full-time,,|preparing or processing marine shipping documents; or, ,   ,,P, ,OPEN_INT_PROM,68747,-1,2018-09-21
126,MARINE ENVIRONMENTAL MANAGER 9437 060614.txt,MARINE ENVIRONMENTAL MANAGER,9437,0,,  A Marine Environmental Manager directs or assists in directing the activities of the Environmental Management Division of the Harbor Department; directs and manages the development and implementation of specialized environmental policies and programs through a professional environmental staff; and advises management of issues of environmental policy; and does related work.,0,"university, college", ,8,full-time,,|a class at least at the level of either Marine Environmental Supervisor or Environmental Supervisor supervising a professional staff performing environmental activities., ,   ,,NoR, ,OPEN_INT_PROM,123755,-1,2014-06-06
127,EQUIPMENT OPERATOR 3525 041417 REV 042717.txt,EQUIPMENT OPERATOR,3525,2,ABCD,"  An Equipment Operator operates tractors, tandem graders, rollers, scrapers, backhoes, track and wheel loaders, hydro and rigid boom cranes, grinders, trommel screens, compost turners, profilers, pavers, and other construction and maintenance equipment. This equipment is used in weed abatement programs, compost and mulch facilities, construction, repair and maintenance of sidewalks, access ramps, streetscape installations, streets, roads, sewers, storm drains, canals, and water and power infrastructures; compacts soil and debris at refuse disposal sites; makes running repairs and adjustments to equipment; and may lubricate equipment and assist crew members on job site.",0,, ,2,full-time,,|operating construction or road maintenance equipment| including tractors and cranes; and, ,   ,,R,A,OPEN_INT_PROM,90201,91162,2017-04-14
128,SENIOR PLUMBER 3444 020516.txt,SENIOR PLUMBER,3444,2,,"  A Senior Plumber acts as lead for and works with a small group of plumbers and helpers and does skilled work in the layout, installation, repair, and maintenance of sanitary and industrial plumbing systems, process piping and fuel dispensing systems, including air, gas, water, steam, industrial waste, gasoline and oil pipelines, and fire systems.",0,, ,2,full-time,,| journey-level plumber; and, ,   ,,R, ,OPEN_INT_PROM,99012,102,2016-02-05
129,TRANSPORTATION ENGINEERING AIDE 7285 100915.txt,TRANSPORTATION ENGINEERING AIDE,7285,1,ABC,  A Transportation Engineering Aide performs moderately difficult sub-professional traffic engineering work associated with making studies and analyses of traffic control and parking problems; inspects work by traffic crews which are installing or modifying traffic control devices; and may supervise employees engaged in such activities.,1,"high school, college", ,2,full-time,Police Student Worker,, ,   ,,P, ,OPEN_INT_PROM,60646,-1,2015-10-09
